MWd/kgU,k-eff,Left mgLi6/kgU,Left %,g T made,g T tot,g T net
0.1950000000000001,1.0724669316791615,69.29134155564594,0.9898763079377991,0.03197822437031089,1.2528357057816735,1.252153656691261
0.2000000000000001,1.0724420978716775,69.27325760739284,0.9896179658198977,0.03197057235894751,1.2848062781406209,1.2840893157387903
0.2050000000000001,1.072417261681928,69.2551779866033,0.9893596855229043,0.031962921845613446,1.3167691999862343,1.3160164562008165
0.2100000000000001,1.0723924231102706,69.23710269243006,0.9891014670347151,0.031955272830183096,1.3487244728164174,1.3479350798068095
0.2150000000000001,1.0723675821570624,69.21903172402591,0.9888433103432273,0.0319476253125057,1.380672098128923,1.3798451882860412
0.2200000000000001,1.0723427388226612,69.20096508054375,0.9885852154363394,0.03193997929243054,1.4126120774213538,1.4117467833675863
0.22500000000000012,1.0723178931074249,69.18290276113655,0.9883271823019507,0.03193233476983198,1.4445444121911857,1.443639866780346
0.23000000000000012,1.0722930450117114,69.16484476495734,0.988069210927962,0.0319246917445593,1.476469103935745,1.4755244402530248
0.23500000000000013,1.0722681945358792,69.14679109115924,0.9878113013022749,0.03191705021648687,1.5083861541522319,1.507400505514154
0.24000000000000013,1.0722433416802866,69.12874173889547,0.9875534534127924,0.031909410185463956,1.5402955643376959,1.539268064292067
0.24500000000000013,1.0722184864452922,69.11069670731932,0.9872956672474189,0.03190177165131469,1.5721973359890105,1.5711271183148752
0.2500000000000001,1.0721936288312555,69.09265599558414,0.9870379427940591,0.031894134613963704,1.604091470602974,1.6029776693105662
0.2550000000000001,1.0721687688385346,69.0746196028434,0.98678028004062,0.03188649907318488,1.635977969676159,1.6348197190068559
0.2600000000000001,1.0721439064674896,69.05658752825062,0.9865226789750088,0.031878865028902865,1.6678568347050617,1.6666532691313372
0.2650000000000001,1.0721190417184796,69.0385597709594,0.9862651395851342,0.031871232480966905,1.6997280671860286,1.6984783214114056
0.27000000000000013,1.0720941745918644,69.02053633012343,0.9860076618589062,0.03186360142920114,1.7315916686152297,1.7302948775742335
0.27500000000000013,1.0720693050880037,69.00251720489649,0.9857502457842356,0.03185597187350508,1.7634476404887347,1.7621029393468457
0.28000000000000014,1.0720444332072576,68.98450239443243,0.9854928913490346,0.03184834381370285,1.7952959843024376,1.793902508456045
0.28500000000000014,1.0720195589499864,68.96649189788518,0.9852355985412168,0.031840717249643734,1.8271367015520814,1.8256935866284354
0.29000000000000015,1.0719946823165507,68.94848571440875,0.9849783673486964,0.03183309218122722,1.8589697937333087,1.8574761755904743
0.29500000000000015,1.071969803307311,68.93048384315722,0.9847211977593888,0.031825468608302564,1.8907952623416113,1.889250277068421
0.30000000000000016,1.0719449219226282,68.91248628328478,0.9844640897612111,0.03181784653069392,1.9226131088723053,1.921015892788312
0.30500000000000016,1.0719200381628635,68.89449303394568,0.9842070433420811,0.03181022594827566,1.954423334820581,1.952773024476012
0.31000000000000016,1.0718951520283777,68.87650409429426,0.983950058489918,0.031802606860897045,1.986225941681478,1.9845216738571867
0.31500000000000017,1.0718702635195327,68.85851946348494,0.983693135192642,0.031794989268432446,2.0180209309499104,2.01626184265733
0.3200000000000002,1.07184537263669,68.84053914067219,0.9834362734381742,0.03178737317075628,2.0498083041206665,2.047993532601764
0.3250000000000002,1.0718204793802113,68.82256312501062,0.9831794732144374,0.03177975856766753,2.081588062688334,2.079716745415562
0.3300000000000002,1.0717955837504587,68.80459141565485,0.9829227345093551,0.031772145459090836,2.1133602081474248,2.111431482823675
0.3350000000000002,1.0717706857477949,68.78662401175966,0.9826660573108522,0.03176453384482521,2.14512474199225,2.1431377465508064
0.3400000000000002,1.0717457853725816,68.76866091247985,0.982409441606855,0.031756923724745034,2.176881665716995,2.1748355383214872
0.3450000000000002,1.0717208826251814,68.75070211697032,0.9821528873852903,0.0317493150987247,2.20863098081572,2.206524859860076
0.3500000000000002,1.071695977505958,68.73274762438605,0.9818963946340864,0.031741707966613464,2.2403726887823336,2.238205712890733
0.3550000000000002,1.0716710700152734,68.71479743388211,0.981639963341173,0.03173410232826057,2.2721067911105943,2.2698780991374212
0.3600000000000002,1.0716461601534917,68.69685154461365,0.9813835934944807,0.031726498183515306,2.3038332892941096,2.301542020323906
0.3650000000000002,1.0716212479209757,68.67890995573589,0.9811272850819412,0.03171889553225203,2.3355521848263616,2.333197478173781
0.3700000000000002,1.0715963333180891,68.66097266640413,0.9808710380914877,0.03171129437432002,2.3672634792006817,2.3648444744104418
0.3750000000000002,1.0715714163451957,68.64303967577378,0.980614852511054,0.031703694709568526,2.39896717391025,2.3964830107570854
0.3800000000000002,1.0715464970026596,68.62511098300028,0.9803587283285755,0.03169609653787193,2.430663270448122,2.4281130889367377
0.38500000000000023,1.071521575290845,68.6071865872392,0.9801026655319885,0.031688499859079504,2.4623517703072015,2.459734710672226
0.39000000000000024,1.071496651210116,68.58926648764616,0.9798466641092308,0.031680904673040494,2.494032674980242,2.4913478776861813
0.39500000000000024,1.0714717247608376,68.57135068337688,0.9795907240482411,0.031673310979604165,2.5257059859598465,2.522952591701036
0.40000000000000024,1.0714467959433744,68.55343917358714,0.9793348453369591,0.031665718778670034,2.5573717047385167,2.5545488544390746
0.40500000000000025,1.0714218647580913,68.53553195743282,0.979079027963326,0.031658128070037095,2.5890298328085537,2.5861366676223354
0.41000000000000025,1.0713969312053535,68.5176290340699,0.9788232719152843,0.03165053885357974,2.6206803716621336,2.617716032972684
